Roll,ID
2,1190002
3,1190003
5,1190005
6,1190006
7,1190007
8,1190008
9,1190009
12,1190012
14,1190014
16,1190016
17,1190017
18,1190018
20,1190020
22,1190022
23,1190023
24,1190024
25,1190025
26,1190026
29,1190029
30,1190030
31,1190031
34,1190034
37,1190037
38,1190038
44,1190044
51,1190051
56,1190056
63,1190063
65,1190065
66,1190066
72,1190072
83,1190083
85,1190085
90,1190090
91,1190091
93,1190093
95,1190095
98,1190098
99,1190099
100,1190100
102,1190102
107,1190107
108,1190108
110,1190110
111,1190111
112,1190112
124,1190124
125,1190125
127,1190127
128,1190128
129,1190129
133,1190133
134,1190134
136,1190136
138,1190138
140,1190140
142,1190142
145,1190145
151,1190151
152,1190152
161,1190161
173,1190173
176,1190176
178,1190178
185,1190185
187,1190187
195,1190195
196,1190196
198,1190198
200,1190200
201,1190201
203,1190203
207,1190207
211,1190211
213,1190213
214,1190214
215,1190215
219,1190219
220,1190220
226,1190226
227,1190227
234,1190234
237,1190237
239,1190239
240,1190240
244,1190244
248,1190248
255,1190255
257,1190257
261,1190261
266,1190266
268,1190268
269,1190269
273,1190273
