Name,BAN,ENG,ICT,Phy,Che,Bio,Math
FL223GCHU,19.0,14.0,9.0,7.0,12.0,16.0,5.0
FL225UIHX,17.0,11.0,6.0,7.0,10.0,13.0,8.0
FL227EUBJ,11.0,12.0,4.0,14.0,15.0,11.0,16.0
FL234SETI,15.0,15.0,12.0,13.0,19.0,16.0,12.0
FL246JKKU,16.0,15.0,11.0,8.0,12.0,14.0,10.0
FL247MNBG,16.0,14.0,11.0,7.0,10.0,12.0,8.0
FL248RDTR,16.0,17.0,15.0,8.0,11.0,13.0,9.0
FL250JFST,15.0,15.0,12.0,6.0,13.0,17.0,9.0
FL260NMJI,17.0,12.0,9.0,11.0,11.0,15.0,6.0
fl261srhn,15.0,15.0,4.0,6.0,9.0,11.0,9.0
FL262XDSA,17.0,17.0,11.0,8.0,14.0,18.0,6.0
FL269MHUV,13.0,12.0,8.0,17.0,13.0,7.0,18.0
FL270FGDR,17.0,16.0,6.0,17.0,18.0,18.0,16.0
FL271HCGH,14.0,11.0,,,9.0,,7.0
FL274FHDK,19.0,15.0,11.0,,,,
FL278JKSU,17.0,15.0,5.0,,12.0,14.0,13.0
FL282FSEQ,15.0,14.0,8.0,8.0,6.0,13.0,
LU001URTY,15.0,9.0,,,,,
LU002FJHJ,18.0,15.0,12.0,17.0,14.0,16.0,8.0
LU003NCBJ,17.0,17.0,9.0,5.0,15.0,15.0,18.0
LU005DJKH,15.0,14.0,9.0,7.0,7.0,10.0,7.0
LU006HURE,18.0,17.0,16.0,18.0,16.0,19.0,20.0
LU010DUIW,16.0,18.0,17.0,,16.0,18.0,11.0
LU011FVHU,16.0,17.0,15.0,14.0,14.0,18.0,11.0
LU012CNBV,16.0,7.0,9.0,12.0,13.0,14.0,9.0
LU013RIUR,18.0,16.0,9.0,13.0,12.0,8.0,6.0
LU014DUIR,15.0,,9.0,13.0,16.0,17.0,14.0
LU016FBUR,17.0,11.0,11.0,10.0,12.0,13.0,6.0
LU018DRUD,18.0,17.0,10.0,7.0,15.0,15.0,18.0
LU020NCVB,15.0,10.0,,9.0,14.0,10.0,7.0
LU021DJYF,15.0,9.0,2.0,14.0,15.0,15.0,6.0
LU022CMKS,18.0,18.0,13.0,9.0,14.0,14.0,18.0
LU025FDUS,15.0,16.0,11.0,10.0,,17.0,11.0
LU031DJFG,13.0,14.0,,8.0,,14.0,7.0
LU034JHFD,7.0,12.0,7.0,9.0,14.0,,10.0
LU035FJER,18.0,17.0,13.0,9.0,15.0,14.0,16.0
LU036VBCJ,19.0,15.0,13.0,15.0,12.0,16.0,7.0
LU038SHUIS,18.0,9.0,10.0,15.0,10.0,13.0,4.0
LU039VBDU,13.0,15.0,9.0,8.0,11.0,15.0,14.0
LU041DGHU,15.0,17.0,8.0,7.0,,11.0,8.0
LU042VNBF,16.0,17.0,17.0,15.0,13.0,18.0,11.0
LU043VNMF,13.0,17.0,6.0,9.0,12.0,17.0,11.0
LU044BVGH,13.0,13.0,12.0,9.0,11.0,7.0,5.0
LU046HGTR,12.0,11.0,9.0,13.0,15.0,16.0,6.0
LU053GHHJ,17.0,16.0,14.0,15.0,15.0,17.0,17.0
LU055VFDJ,11.0,11.0,7.0,16.0,16.0,8.0,7.0
LU056DRYJ,16.0,11.0,,,,13.0,9.0
LU057BCSR,12.0,,18.0,11.0,15.0,17.0,6.0
LU059NHYE,13.0,12.0,9.0,12.0,15.0,12.0,8.0
LU060BHJU,17.0,14.0,14.0,11.0,7.0,11.0,9.0
LU061NHFR,16.0,13.0,13.0,8.0,11.0,14.0,6.0
LU062MJHY,18.0,17.0,10.0,11.0,13.0,19.0,8.0
LU063VGFR,12.0,13.0,6.0,18.0,17.0,13.0,19.0
LU065BVHK,15.0,15.0,8.0,8.0,8.0,17.0,8.0
LU066REWJ,,13.0,12.0,10.0,11.0,14.0,15.0
LU067KOIY,12.0,,12.0,5.0,12.0,10.0,14.0
NE232SMDK,15.0,13.0,10.0,5.0,12.0,14.0,
NE233KSJS,11.0,,10.0,12.0,10.0,,7.0
NE235KRJF,14.0,9.0,7.0,6.0,6.0,15.0,
NE236MSKE,18.0,12.0,11.0,9.0,11.0,12.0,2.0
NE237MSHS,18.0,,15.0,15.0,16.0,17.0,14.0
NE238MXHD,16.0,15.0,,,,,
NE239KMDJF,13.0,12.0,9.0,12.0,8.0,16.0,12.0
NE240NCCM,16.0,15.0,11.0,14.0,14.0,16.0,7.0
NE241MDJF,12.0,16.0,13.0,14.0,14.0,18.0,11.0
NE242BSHD,19.0,13.0,9.0,14.0,,13.0,12.0
NE243MSND,17.0,12.0,9.0,,11.0,16.0,14.0
NE244KFJR,17.0,14.0,11.0,15.0,13.0,10.0,6.0
NE245itrk,,,10.0,5.0,4.0,3.0,
NE251MFJV,,11.0,12.0,4.0,11.0,10.0,3.0
NE252KDMF,15.0,13.0,6.0,10.0,14.0,14.0,12.0
NE253MDKC,18.0,12.0,9.0,7.0,11.0,18.0,6.0
NE254SDNC,8.0,,4.0,,4.0,,
NE255MDHC,12.0,13.0,9.0,16.0,,,9.0
NE256BXNS,20.0,14.0,15.0,7.0,11.0,14.0,8.0
NE257NSBD,19.0,,10.0,11.0,10.0,15.0,10.0
NE258MDNF,19.0,10.0,8.0,,,13.0,
NE259KEJR,10.0,13.0,8.0,15.0,16.0,16.0,15.0
NE263NXBD,19.0,16.0,13.0,11.0,15.0,16.0,
NE265MFNV,17.0,13.0,8.0,12.0,15.0,18.0,9.0
NE266NXMD,13.0,17.0,9.0,9.0,15.0,18.0,14.0
NE267MDNF,,,9.0,,,,
NE273AGWS,14.0,7.0,8.0,6.0,8.0,10.0,2.0
NE275NAHS,7.0,13.0,4.0,10.0,5.0,4.0,1.0
NE276NDMS,15.0,15.0,,,,16.0,9.0
NE277NXMD,14.0,17.0,14.0,15.0,16.0,17.0,14.0
NE279MNDC,20.0,16.0,6.0,12.0,16.0,18.0,15.0
NE285HGEB,6.0,18.0,11.0,18.0,14.0,,20.0
NE286NDKR,9.0,18.0,4.0,18.0,14.0,15.0,20.0
NE287NDEI,14.0,13.0,9.0,11.0,,11.0,15.0
ne288ndhr,18.0,14.0,10.0,11.0,15.0,12.0,8.0
NE407LASA,12.0,,12.0,18.0,14.0,17.0,20.0
NU004DHJS,17.0,13.0,,12.0,16.0,10.0,11.0
NU007erYt,16.0,12.0,14.0,13.0,15.0,16.0,13.0
NU008RTYT,18.0,17.0,10.0,13.0,13.0,,
NU009REYG,18.0,15.0,7.0,13.0,14.0,12.0,18.0
NU015FGFT,14.0,11.0,7.0,10.0,10.0,12.0,13.0
NU017GFTR,17.0,10.0,11.0,12.0,12.0,16.0,11.0
NU019GFHR,10.0,8.0,8.0,14.0,,13.0,12.0
NU023TRHE,15.0,11.0,6.0,5.0,7.0,9.0,5.0
NU024GTRE,16.0,14.0,12.0,8.0,8.0,17.0,10.0
NU026TREE,20.0,17.0,18.0,15.0,14.0,20.0,17.0
NU027FOOD,17.0,15.0,8.0,13.0,10.0,12.0,9.0
NU028GAME,12.0,12.0,10.0,,12.0,15.0,9.0
NU029TEAM,15.0,11.0,5.0,8.0,11.0,15.0,10.0
NU030RETF,11.0,10.0,4.0,4.0,8.0,12.0,2.0
NU032REAL,16.0,9.0,13.0,7.0,9.0,13.0,7.0
Nu033cvff,15.0,13.0,7.0,9.0,10.0,,7.0
NU037DHFD,16.0,15.0,10.0,12.0,9.0,13.0,10.0
NU047FDHR,18.0,12.0,5.0,12.0,11.0,19.0,11.0
NU048VGFE,13.0,13.0,7.0,7.0,9.0,13.0,9.0
NU049HFTE,13.0,17.0,15.0,10.0,17.0,17.0,12.0
NU050REHG,19.0,9.0,6.0,14.0,17.0,18.0,17.0
NU051LKJK,19.0,8.0,8.0,3.0,17.0,18.0,9.0
NU054JYIY,,,,9.0,10.0,3.0,5.0
NU058LLOP,14.0,11.0,,5.0,12.0,13.0,
NU064BCXD,15.0,13.0,6.0,10.0,13.0,10.0,6.0
NU068GFFD,10.0,8.0,7.0,5.0,,14.0,
NU069GTRE,11.0,,,,12.0,18.0,10.0
NU071REHF,15.0,13.0,9.0,8.0,12.0,8.0,5.0
NU072MVSR,,8.0,12.0,15.0,13.0,17.0,14.0
NU073EWET,18.0,17.0,7.0,11.0,15.0,15.0,
NU074MTYG,16.0,16.0,10.0,12.0,9.0,11.0,10.0
NU076FRTR,15.0,11.0,17.0,15.0,14.0,15.0,8.0
NU084VFTR,11.0,9.0,2.0,8.0,8.0,11.0,6.0
NU085GJGD,15.0,11.0,11.0,11.0,10.0,8.0,14.0
NU086RTER,18.0,11.0,11.0,8.0,15.0,10.0,7.0
NU087HFDS,16.0,8.0,,10.0,8.0,11.0,4.0
NU089GRET,17.0,15.0,14.0,,11.0,17.0,9.0
NU090NFTH,16.0,17.0,12.0,12.0,14.0,17.0,11.0
NU091BFDS,17.0,11.0,10.0,13.0,12.0,9.0,10.0
NU093VBDF,10.0,6.0,7.0,7.0,8.0,,7.0
PA161KALS,16.0,16.0,12.0,10.0,14.0,16.0,9.0
PA162HDNF,17.0,16.0,6.0,4.0,11.0,7.0,5.0
PA163MNFD,11.0,12.0,13.0,5.0,,7.0,3.0
PA164SHDN,,12.0,13.0,13.0,12.0,,
PA167NDMF,5.0,6.0,5.0,3.0,,,4.0
PA171KMDJ,12.0,9.0,7.0,7.0,10.0,16.0,4.0
PA172SJND,,16.0,12.0,,10.0,15.0,
